	1	2	3	4	5	6	7	8	9	10	11	12
A	0.06	0.089	0.075	0.053	0.064	0.052	0.051	0.053	0.053	0.051	0.049	0.05
B	0.06	0.104	0.063	0.059	0.054	0.05	0.053	0.055	0.052	0.05	0.05	0.054
C	0.059	0.351	0.062	0.051	0.052	0.051	0.051	0.052	0.05	0.051	0.05	0.052
D	0.057	0.054	0.058	0.053	0.052	0.05	0.051	0.054	0.051	0.051	0.051	0.052
E	0.056	0.051	0.051	0.051	0.049	0.047	0.084	0.05	0.051	0.049	0.05	0.05
F	0.057	0.052	0.055	0.051	0.049	0.05	0.049	0.049	0.054	0.049	0.05	0.05
G	0.058	0.049	0.052	0.051	0.051	0.052	0.05	0.047	0.049	0.048	0.048	0.048
H	0.056	0.043	0.042	0.044	0.042	0.043	0.042	0.043	0.042	0.045	0.046	0.05
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.039	0.129	0.096	0.07	0.055	0.064	0.053	0.053	0.053	0.053	0.054	0.053
B	0.044	0.157	0.078	0.129	0.059	0.055	0.058	0.053	0.057	0.054	0.058	0.054
C	0.04	0.103	0.083	0.099	0.096	0.057	0.055	0.053	0.054	0.054	0.054	0.054
D	0.038	0.058	0.062	0.06	0.061	0.055	0.056	0.055	0.055	0.058	0.055	0.055
E	0.039	0.055	0.058	0.056	0.053	0.052	0.053	0.058	0.053	0.057	0.054	0.053
F	0.039	0.056	0.059	0.056	0.099	0.053	0.054	0.065	0.054	0.053	0.051	0.052
G	0.04	0.055	0.056	0.055	0.055	0.053	0.052	0.052	0.053	0.053	0.049	0.051
H	0.038	0.048	0.048	0.047	0.046	0.049	0.045	0.044	0.046	0.046	0.044	0.053
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.126	0.091	0.052	0.045	0.055	0.048	0.063	0.096	0.097	0.089	0.084	0.086
B	0.123	0.103	0.057	0.044	0.042	0.047	0.064	0.086	0.094	0.083	0.091	0.102
C	0.124	0.089	0.058	0.045	0.046	0.044	0.079	0.094	0.091	0.094	0.092	0.098
D	0.12	0.045	0.046	0.045	0.077	0.085	0.089	0.088	0.091	0.09	0.091	0.097
E	0.115	0.091	0.043	0.049	0.075	0.081	0.088	0.085	0.094	0.086	0.089	0.095
F	0.117	0.092	0.044	0.05	0.067	0.086	0.087	0.085	0.087	0.088	0.09	0.097
G	0.117	0.053	0.054	0.053	0.053	0.055	0.054	0.057	0.068	0.071	0.076	0.089
H	0.118	0.039	0.039	0.04	0.039	0.039	0.038	0.04	0.038	0.039	0.04	0.094
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.037	0.085	0.061	0.061	0.044	0.055	0.08	0.089	0.093	0.093	0.095	0.096
B	0.034	0.087	0.058	0.073	0.042	0.043	0.044	0.087	0.093	0.09	0.102	0.104
C	0.039	0.088	0.057	0.051	0.086	0.045	0.056	0.091	0.087	0.098	0.094	0.104
D	0.038	0.045	0.047	0.052	0.088	0.096	0.101	0.1	0.099	0.104	0.099	0.109
E	0.039	0.043	0.044	0.046	0.07	0.087	0.087	0.092	0.089	0.096	0.089	0.098
F	0.035	0.04	0.043	0.048	0.074	0.088	0.087	0.089	0.092	0.093	0.093	0.104
G	0.037	0.052	0.055	0.053	0.053	0.054	0.057	0.061	0.07	0.076	0.079	0.104
H	0.037	0.042	0.043	0.043	0.042	0.042	0.042	0.041	0.042	0.04	0.039	0.103
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.287	0.089	0.046	0.041	0.055	0.096	0.157	0.19	0.195	0.178	0.155	0.17
